<<<<<<< HEAD
id,category,name,description,level,video_link
1,1,Pressure Cook,"A pressure cooker is a great tool and 1 to use if you want to save time. You can make brown rice and baked potatoes in 10 minutes, and green beans in about 3 minutes.  It can also reduce braised meat cooking time by a third while maintaining the same quality of flavor and tenderness.  Pressure cookers look like a pot with a cone shaped lid and a steam vent.  There are electric and stove top varieties. Cook with a smaller amount of water or stock than usual because almost all of the moisture is retained.  Each pot is individual and will take some getting used to, but they are a great investment.  ",3,
2,1,Reduce,"A method used to intensify flavors in sauces. Boil liquids until the volume lessons, or reduces, due to evaportion",3,
3,1,Roux,"A Roux is made from equal parts fat and flour. The fat is heated and then the flour is slowly stirred in until it is cooked. A roux is a base used to thicken sauces, chowders and other dishes. You have eaten one if you have had  Macaroni and Cheese in a restaurant.     ",4,
4,1,Blanch,"To quickly cook vegetables in rapidly boiling water.  This 1 allows vegetables to keep their color while cooking and pre-cooks your vegetables for fasting cooking later.  It can also make it easier to peel certain produce. First cut your vegetables to the size you want and then add them slowly to rapidly boiling water making sure it stays boiling.  You only want to cook them until they are slightly tender, then remove allow them to cool. Typically after taking the vegetables from the water they are plunged into an ice bath to quickly cool them and stop the cooking process. You can also allow them cool naturally and then store them in your refrigerator until you are ready to use them in a recipe.   ",1,http://www.youtube.com/embed/LaEz_3od0Aw
5,1,Mandolin,"A type of slicer that can be used instead of a knife to create even cuts for vegetables.  Vegetables are sliced using a back-and-forth motion across the mandolin.  Mandolins come with different size and cut settings, allowing such cuts as slices, fries and julienne.  ",4,
6,1,Handling Chili Peppers ,"Be careful when handling peppers. Always scoop out the seeds, the part with the most heat, before chopping.  Always thoroughly wash your hands and cutting board after handling peppers.  You can injure yourself if you rub your eyes after cutting hot peppers.  With very hot varieties I recommend wearing a latex glove while handling them.  Note: The seeds and surrounding membrane are the spiciest part of the chile pepper. To increase the heat of the salsa, use some or all of the seeds, depending on your preference, along with the flesh of the pepper.  Bell Peppers are mild to sweet pepper and do not need to be handled as carefully",1,
7,1,Julienne,To cut into strips.,2,
8,1,Dice,To cut vegetables into cubes of 1/2 inch by 1/2 inch,1,
9,1,Wrap - cooked,To wrap food in leaves or similar.  Examples of wrapping are European Dolmahs that wrap filling in cabbage leaves or Greek Dolmahs that wrap lamb and rice in grape leaves. ,4,
10,1,Hand Blend,"To blend directly in the pot or glass using a hand blender, also known as a  wand or immersion blender.  Submerge the blender in a pan or pot of sauteed vegetables and quickly turn them to soup.  Or directly blend a glass of frozen berries, flax seed, soy milk and bananas to into a smoothie.  ",3,
